"MageProfis - Google Maps","MageProfis - Google Maps"
"Renders Google Map at a specified point","Renders Google Map at a specified point"
"Latitude","Latitude"
"Longitude","Longitude"
"Map","Map"
"Move pin to desired location","Move pin to desired location"
"Move pin to desired location and set zoom level","Move pin to desired location and select zoom level"
"Zoom","Zoom"
"Content","Content"
"Optional (html) content","Optional (html) content"
"General","General"
"API Key","API Key"
